マーケット,取引種別,価格,数量,合計数,手数料,コスト,損益,日時
btc_jpy,売り,1224000.000000,0.001100,0.000000,0.000000,1225000.000000,-1.100000,2017-12-3 1:54:2,
btc_jpy,売り,1224000.000000,0.002300,0.000000,0.000000,1225000.000000,-2.300000,2017-12-3 1:54:2,
btc_jpy,売り,1227500.000000,0.005700,0.000000,0.000000,1225000.000000,14.250000,2017-12-3 1:56:53,
btc_jpy,売り,1227500.000000,0.002300,0.000000,0.000000,1225000.000000,5.750000,2017-12-3 1:56:53,
btc_jpy,売り,1235000.000000,0.005700,0.000000,0.000000,1225000.000000,57.000000,2017-12-3 3:6:43,
btc_jpy,売り,1235000.000000,0.002100,0.000000,0.000000,1225000.000000,21.000000,2017-12-3 3:6:43,
btc_jpy,売り,1238000.000000,0.005900,0.000000,0.000000,1225000.000000,76.700000,2017-12-3 3:7:55,
btc_jpy,売り,1238000.000000,0.000400,0.000000,0.000000,1222000.000000,6.400000,2017-12-3 3:7:55,
btc_jpy,売り,1240000.000000,0.003000,0.000000,0.000000,1222000.000000,54.000000,2017-12-3 5:58:27,
btc_jpy,売り,1240000.000000,0.003400,0.000000,0.000000,1235000.000000,17.000000,2017-12-3 5:58:27,
btc_jpy,買い,1235000.000000,0.009600,0.000000,0.000000,0.000000,0.000000,2017-12-3 12:5:10,
btc_jpy,売り,1240000.000000,0.006200,0.000000,0.000000,1235000.000000,31.000000,2017-12-3 12:39:2,
